,Unnamed: 0,ALT_NORMAL,ALTGEOM,AR_LIVRE,GRAVIDADE,INSTITUICA,LATITUDE,LONGITUDE,X,Y,__X,__Y,_x,_y,distance_to_main_line,Path_Distance
36,9270,951.273377096891,953.572963967824,27.0192164269586,978664.68,ANP,-24.65795095,-50.84948165,5318891.9784494,7268176.78355781,5318891.9784494,7268176.78355781,5318891.9784494,7268176.78355781,22241.245987391747,94502.55884016732
37,9271,945.580676535019,947.880173574513,26.4264496799207,978665.77,ANP,-24.65688093,-50.84585168,5319262.05954786,7268286.99150812,5319262.05954786,7268286.99150812,5319262.05954786,7268286.99150812,22450.542165785708,94888.70105716682
38,27754,941.39,0.0,0.0,978662.9,IAG-USP,-24.6506,-50.8428,5319586.89903278,7268976.31203764,5319586.89903278,7268976.31203764,5319586.89903278,7268976.31203764,22248.64739248504,95650.72696445699
39,8878,932.38602903364,934.664820323548,26.1598112684091,978669.0,ANP,-24.64850089,-50.84692161,5319175.10387872,7269218.63916088,5319175.10387872,7269218.63916088,5319175.10387872,7269218.63916088,21778.276508769348,96128.53203304154
40,517,935.994226374659,938.272958462262,22.7407808508222,978664.42,IAG-USP,-24.6478,-50.8481,5319057.62297632,7269299.08942932,5319057.62297632,7269299.08942932,5319057.62297632,7269299.08942932,21636.720499912033,96270.91885869879
41,8877,899.262218344722,901.520052841305,23.9044900506402,978676.19,ANP,-24.63721083,-50.85239167,5318650.15311576,7270483.14865529,5318650.15311576,7270483.14865529,5318650.15311576,7270483.14865529,20556.833381465418,97523.12808158032
42,8876,904.46628344941,906.703498414587,24.8170222023033,978675.0,ANP,-24.62994081,-50.85001161,5318909.52506028,7271283.70983105,5318909.52506028,7271283.70983105,5318909.52506028,7271283.70983105,20232.84162650398,98364.65764240302
43,8875,925.672357691395,927.899250383977,28.2862683583224,978671.67,ANP,-24.62617081,-50.8486816,5319053.73221542,7271698.63210389,5319053.73221542,7271698.63210389,5319053.73221542,7271698.63210389,20072.344401654645,98803.92543782256
44,8874,941.219362700416,943.445953890291,29.9827016831526,978668.33,ANP,-24.62265077,-50.84716157,5319216.54649582,7272085.39761165,5319216.54649582,7272085.39761165,5319216.54649582,7272085.39761165,19944.298023892974,99223.56343407012
45,8873,957.077504135848,959.283752895094,31.7871762183913,978664.97,ANP,-24.61866082,-50.8478815,5319153.80533779,7272529.46409918,5319153.80533779,7272529.46409918,5319153.80533779,7272529.46409918,19607.696009145166,99672.0402988674
46,8872,941.154891903912,943.350724332738,31.7264555547454,978669.49,ANP,-24.61382073,-50.84842152,5319111.4303836,7273067.37357924,5319111.4303836,7273067.37357924,5319111.4303836,7273067.37357924,19225.493303927007,100211.61628562138
47,8871,966.576913421828,968.752139395279,34.5687331211245,978664.01,ANP,-24.60679074,-50.84468145,5319507.93470231,7273838.16081302,5319507.93470231,7273838.16081302,5319507.93470231,7273838.16081302,19025.00341376041,101078.40843747341
48,8870,938.944576246027,941.109603372219,31.5922890203424,978669.4,ANP,-24.60449075,-50.84318138,5319665.65417484,7274089.69431577,5319665.65417484,7274089.69431577,5319665.65417484,7274089.69431577,18981.086125099915,101375.299890737
49,9158,964.837296606524,967.012407624567,33.5430093615775,978663.43,ANP,-24.6054608,-50.8332413,5320669.55425777,7273959.01044718,5320669.55425777,7273959.01044718,5320669.55425777,7273959.01044718,19828.40653741355,102387.6702034272
50,9157,932.252469547305,934.427528683114,29.0127015058581,978668.91,ANP,-24.60486083,-50.82842131,5321159.07834958,7274014.29375241,5321159.07834958,7274014.29375241,5321159.07834958,7274014.29375241,20164.13863958098,102880.30605301552
51,9156,887.67721014956,889.862347104692,22.6010196965174,978676.31,ANP,-24.6057608,-50.82065121,5321943.44620213,7273896.34968146,5321943.44620213,7273896.34968146,5321943.44620213,7273896.34968146,20836.47365428488,103673.49186478108
52,9155,856.804181330327,858.989326931229,19.71058655143,978682.95,ANP,-24.60586081,-50.81655118,5322358.28808106,7273875.66207177,5322358.28808106,7273875.66207177,5322358.28808106,7273875.66207177,21164.933514197375,104088.84925511976
53,9154,841.790316758464,843.985421730925,18.4812302692464,978686.32,ANP,-24.60539088,-50.81207117,5322813.06279069,7273917.26553909,5322813.06279069,7273917.26553909,5322813.06279069,7273917.26553909,21483.18138037082,104545.52297344823
54,9153,837.803838488632,840.009086942042,18.388037157479,978687.57,ANP,-24.60705091,-50.80257108,5323770.60321084,7273710.88138807,5323770.60321084,7273710.88138807,5323770.60321084,7273710.88138807,22344.559348579067,105525.05249011124
55,9152,846.479769375612,848.695038562928,17.5979916901948,978684.12,ANP,-24.6072909,-50.79769105,5324264.04516371,7273672.77972552,5324264.04516371,7273672.77972552,5324264.04516371,7273672.77972552,22744.03349409422,106019.9632876703
56,9151,853.636112139019,855.851278497314,18.3068951534387,978682.54,ANP,-24.60610094,-50.79366103,5324675.12267963,7273795.2207902,5324675.12267963,7273795.2207902,5324675.12267963,7273795.2207902,22976.49881942702,106448.88815103851
57,9150,861.311815569993,863.526770898995,18.7114223511047,978680.41,ANP,-24.60366089,-50.789421,5325110.70256558,7274055.76619797,5325110.70256558,7274055.76619797,5325110.70256558,7274055.76619797,23137.70254501599,106956.44479472846
58,33697,866.15,0.0,0.0,978679.31,PETROBRAS,-24.603,-50.7889,5325165.16009188,7274127.81572269,5325165.16009188,7274127.81572269,5325165.16009188,7274127.81572269,23132.1694737314,107046.75955644037
59,9149,860.633429951781,862.837900966247,18.4740935362725,978680.0,ANP,-24.59807094,-50.78440091,5325633.43375216,7274663.7208207,5325633.43375216,7274663.7208207,5325633.43375216,7274663.7208207,23139.017198858248,107758.42977148721
60,9148,788.841648388843,791.03545387219,12.6808280041717,978695.83,ANP,-24.59041089,-50.77535081,5326569.63095217,7275491.64497907,5326569.63095217,7275491.64497907,5326569.63095217,7275491.64497907,23311.147438842658,109008.19919394898
61,9147,810.206763050352,812.400234135246,13.3239467290248,978689.62,ANP,-24.5865709,-50.77219079,5326899.57524035,7275909.93399421,5326899.57524035,7275909.93399421,5326899.57524035,7275909.93399421,23289.49349952835,109540.95517325832
62,9146,874.742803689449,876.925962582614,20.4265432750057,978676.57,ANP,-24.58299095,-50.7695108,5327180.25323995,7276300.52376316,5327180.25323995,7276300.52376316,5327180.25323995,7276300.52376316,23248.45499315797,110021.93387036215
63,9145,840.658769998203,842.831638998742,17.8590651698066,978684.29,ANP,-24.57967088,-50.76764074,5327378.25322779,7276664.21849312,5327378.25322779,7276664.21849312,5327378.25322779,7276664.21849312,23162.138390495777,110436.03271337539
64,9144,858.214405096858,860.3870835678,19.3934692729301,978680.26,ANP,-24.5774909,-50.76338067,5327815.3183674,7276895.80963755,5327815.3183674,7276895.80963755,5327815.3183674,7276895.80963755,23343.31091407949,110930.66428782367
65,9143,834.51632488083,836.678427416581,18.0123047478571,978685.74,ANP,-24.5709109,-50.75873068,5328303.35815551,7277614.34839321,5328303.35815551,7277614.34839321,5328303.35815551,7277614.34839321,23246.32475685273,111799.27281769428
66,9142,830.731754329614,832.89372803073,18.1551798066072,978686.95,ANP,-24.56944088,-50.75468062,5328717.34491039,7277767.69362373,5328717.34491039,7277767.69362373,5328717.34491039,7277767.69362373,23460.889280571733,112240.74738427621
67,9141,819.468113788781,821.639979652147,18.0044922849007,978690.19,ANP,-24.56821095,-50.75038053,5329156.03419233,7277893.80834268,5329156.03419233,7277893.80834268,5329156.03419233,7277893.80834268,23711.930288813433,112697.20462041708
68,9178,798.705033250795,800.846323275556,17.1871221694917,978695.33,ANP,-24.56165087,-50.75224055,5328984.80329905,7278625.65576601,5328984.80329905,7278625.65576601,5328984.80329905,7278625.65576601,23105.685981265608,113448.81666785131
69,9177,773.005847754986,775.13689342849,14.1189342095965,978700.0,ANP,-24.55887083,-50.75565056,5328646.7003344,7278942.050571,5328646.7003344,7278942.050571,5328646.7003344,7278942.050571,22643.07405936366,113911.87097063843
70,9176,735.967527934108,738.078369553876,11.0211871102993,978708.17,ANP,-24.55655084,-50.75960057,5328252.69030279,7279208.7094361,5328252.69030279,7279208.7094361,5328252.69030279,7279208.7094361,22170.37472675703,114387.63441537273
71,9175,752.556575384648,754.657102769254,12.0223938238699,978703.81,ANP,-24.55298082,-50.76056055,5328164.76053736,7279606.84926821,5328164.76053736,7279606.84926821,5328164.76053736,7279606.84926821,21844.53170465411,114795.36835995095
72,9174,785.645723628411,787.725906539888,15.5568421044523,978696.87,ANP,-24.5490708,-50.76303056,5327924.76192828,7280046.27951618,5327924.76192828,7280046.27951618,5327924.76192828,7280046.27951618,21376.351286473662,115296.0661482337
73,9173,811.464873011385,813.514411107969,18.6603309581207,978691.51,ANP,-24.54176078,-50.7672506,5327516.31776988,7280866.86049493,5327516.31776988,7280866.86049493,5327516.31776988,7280866.86049493,20532.2456185749,116212.67935630861
74,9171,809.677976866227,811.697183806359,19.164848451344,978692.31,ANP,-24.53801077,-50.77450059,5326791.66031159,7281299.86268185,5326791.66031159,7281299.86268185,5326791.66031159,7281299.86268185,19700.23647000994,117056.84718662027
75,9170,802.967284804742,804.97609936332,19.1974650143839,978694.11,ANP,-24.53357074,-50.77730067,5326519.5178277,7281798.80992707,5326519.5178277,7281798.80992707,5326519.5178277,7281798.80992707,19168.919851130024,117625.18677265155
76,9169,798.057953899938,800.056567729956,19.1577858537519,978695.43,ANP,-24.53130065,-50.78038061,5326213.3905038,7282057.80516299,5326213.3905038,7282057.80516299,5326213.3905038,7282057.80516299,18767.938541065803,118026.17613743273
77,34248,924.63,0.0,0.0,978676.34,ANP,-24.51,-50.79,5325293.8275711,7284442.33782837,5325293.8275711,7284442.33782837,5325293.8275711,7284442.33782837,16518.040719146156,120581.87408896402
78,9110,903.621705564748,905.548293895324,37.9608516231984,978680.11,ANP,-24.50843053,-50.79046064,5325251.19874383,7284617.44613921,5325251.19874383,7284617.44613921,5325251.19874383,7284617.44613921,16371.725912260808,120762.09655548698
79,9109,879.142408986998,881.068786290898,35.8617718110175,978685.4,ANP,-24.50605055,-50.79377069,5324921.94620054,7284889.12929076,5324921.94620054,7284889.12929076,5324921.94620054,7284889.12929076,15944.92890593606,121188.96769775239
80,9108,871.982289880196,873.898402916137,34.9160614473957,978686.46,ANP,-24.50307054,-50.79628068,5324675.28852023,7285225.45439764,5324675.28852023,7285225.45439764,5324675.28852023,7285225.45439764,15538.784321934945,121606.04633395224
